name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,access,air_conditioning,alt_name,alt_name:en,alt_name:vi,amenity,amenity_1,architect,architect:wikidata,area,barrier,beds,branch,brand,brand:contact:twitter,brand:wikidata,building,building:levels,building:material,building:part,building:prefabricated,camera:mount,camera:type,capacity,check_date,check_date:opening_hours,club,community_centre,community_centre:for,construction,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:website,contact:youtube,craft,cuisine,dance:style,dance:teaching,denomination,description,disused:amenity,disused:shop,disused:sport,disused:tourism,disused:website,drinking_water,ele,emergency,fax,fixme,gnis:feature_id,government,hackerspace,healthcare,healthcare:speciality,height,heritage,heritage:operator,hist_name,historic,historic:amenity,historic:name,image,indoor,internet_access,landuse,layer,leed,leisure,level,lgbtq,loc_name,man_made,min_age,name:am,name:en,name:es,name:etymology,name:etymology:wikidata,name:ko,name:signed,name:vi,name:vi-Hani,name:zh,not:amenity,note,office,official_name,old:operator,old_name,old_name:es,opening_hours,opening_hours:covid19,opening_hours:signed,operational_status,operator,operator:short,operator:type,operator:website,operator:wikidata,owner,owner:wikidata,paloalto_ca:id,payment:cash,payment:contactless,payment:credit_cards,payment:discover_card,payment:mastercard,payment:visa,pet,pets,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,redwood_city_ca:bldg_id,ref,ref:nrhp,religion,residential,roof:levels,roof:orientation,roof:shape,scents,second_hand,service:bicycle:repair,service_times,shelter,shelter_type,shop,short_name,short_name:en,short_name:vi,smoking,social_facility,social_facility:for,social_facility:for_1,social_facility_1,source,source:addr,source:url,sport,start_date,strapline,surveillance,surveillance:type,surveillance:zone,survey:date,theatre:genre,toilets,tourism,training,type,was:addr:housenumber,was:addr:street,was:addr:unit,was:amenity,was:name,washing_machine,website:calendar,website:menu,wheelchair,wikidata,wikimedia_commons,wikipedia,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:neighbourhood,addr:postcode,addr:state,addr:street,addr:unit
Jeannik Méquet Littlefield Concert Hall,,alameda,,social_community,,,,,,,https://performingarts.mills.edu/venues/littlefield-concert-hall/index.php,37.7814357,-122.1842138,23543032,way,,,,,,arts_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,,,,CA,Richards Road,
Laney College Art Center,,alameda,,social_community,,,,,,,,37.7960814,-122.261439,23593144,way,,,,,,arts_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laney College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry J. Kaiser Center for the Arts,,alameda,,social_community,,,,,,,https://www.hjkarts.com/,37.7975751,-122.2607897,23593180,way,,,,,,arts_centre,,,,,,,,,,,public,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661750,,,,,,,,,building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henry J Kaiser Convention Center;Oakland Municipal Auditorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,gabled,,,,,,,,,,,,,,,,,,,,1915,,,,,,,,,,,,,,,,,,,,Q6348418,,en:Kaiser Center for the Arts,Oakland,,,,,10,,,CA,10th Street,
Robert Livermore Community Center,,alameda,,social_community,,,,,,,,37.680884,-121.7415552,24303437,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Art Center,,alameda,,social_community,,,,,,,,37.8845702,-122.2682485,25052872,way,,,,,,arts_centre,,,,,,,,,,,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,2086924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,,,,,,,,CA,,
de Fremery Recreation Center,,alameda,,social_community,,,,,,,,37.8123143,-122.2862538,25207153,way,,,deFremery Recreation Center,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029383,,,,,,,,,,,,,,,,,,,,,,,,,,,building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,,,,18th Street,
FM Smith Recreation Center,,alameda,,social_community,,,,,,,,37.8006291,-122.2487723,26968878,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,,,,,
Lakeside Garden Center,,alameda,,social_community,,,,,,,,37.8072822,-122.2587286,27808403,way,,,Marsha J. Corprew Garden Center,,,community_centre,,,,,,,,,,,yes,,,,,,,,,2024-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,666,,,,Bellevue Avenue,
Ala Costa Center,,alameda,,social_community,,,,,,,https://www.alacostacenters.org/,37.8767511,-122.2888882,28077030,way,,,,,,social_facility,,,,,,,,,,,school,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,developmentally_disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,1300,,,CA,Rose Street,
Veterans Memorial Building Senior Center,,alameda,,social_community,,,,,,,,37.811632,-122.2613217,28293990,way,,,Downtown Oakland Senior Center,,,community_centre,,,,,,,,,,,government,,,,,,,,,,,community_hall,senior,,,,,,http://www2.oaklandnet.com/Government/o/DHS/s/AAS/o/SeniorCenters/Downtown/index.htm,,,,,,,,,,,,,,4,,,,1666758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,200,,,CA,Grand Avenue,
Malonga Casquelourd Center for the Arts,,alameda,,social_community,,,,+1-510-238-7217,,,http://www2.oaklandnet.com/Government/o/opr/s/caprograms/OAK029782,37.8027659,-122.266107,32829468,way,,,,,,arts_centre,,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693010,,,,,,,,,building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,,,,,,,,,,,,,,,,,,,yes,Q44873932,,"en:Lakeside Apartments District, Oakland, California#Malonga Casquelourd Arts Center",,,,,,1428,,,,Alice Street,
North Oakland Senior Center,,alameda,,social_community,,,,,,,,37.8433732,-122.2701987,34667649,way,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Watermark at Rosewood Gardens,,alameda,,social_community,,,,,,,,37.6773645,-121.7842413,35578030,way,,,,,,social_facility,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,Fenton Street,
Girls Inc,,alameda,,social_community,,,,,,,,37.8065596,-122.2711131,36978116,way,,,Simpson Center for Girls,,,social_facility,,,,,,,,,,,yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bay Water Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing- approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,16th Street,
Department of Make Believe,,alameda,,social_community,,,,,,,,37.812626,-122.2693024,36979430,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2273,,,,Telegraph Avenue,
Fremont Community Center,,alameda,,social_community,,,,,,,,37.5455834,-121.965383,37751677,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Well Center at Lake Elizabeth,,alameda,,social_community,,,,,,,,37.5462541,-121.96646,37784278,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40070;40086;40204;40400,,,,Paseo Padre Parkway,
West Oakland Senior Center,,alameda,,social_community,,,,,,,,37.812208,-122.2850375,44032539,way,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724,,,,Adeline Street,
Lisser Hall,,alameda,,social_community,,,,,,,https://performingarts.mills.edu/venues/lisser-hall.php,37.780485,-122.1830838,52096902,way,,,,,,arts_centre,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,,,,CA,Kapiolani Road,
North Berkeley Senior Center,,alameda,,social_community,,,,+1-510-981-5190,,,https://berkeleyca.gov/community-recreation/seniors/senior-centers/north-berkeley-senior-center,37.8738518,-122.2731266,62354237,way,,,,,,social_facility,,,,,,,,,,,public,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,2086824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo 09:00-15:00; We-Fr 09:00-15:00,,,,City of Berkeley,,,,,,,,,,,,,,,,,,,,,,,0,,flat,,,,,,,,,,,,,senior,,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,US,,,,1901,,94709,CA,Hearst Avenue,
Judge Henry Ramsey Jr. South Berkeley Senior Center,,alameda,,social_community,,,,,,,https://berkeleyca.gov/community-recreation/seniors/senior-centers/judge-henry-ramsey-jr-south-berkeley-senior-center,37.8541792,-122.2730951,68675196,way,,,South Berkeley Senior Center,,,community_centre,,,,,,,,,,,public,,,,,,,,,,,,senior,,,,,,,,,,,,,,,,,,,,32,,,,2086839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Henry Ramsey Jr. South Berkeley Senior Center,,,,,,,,City of Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,US,,,,2930,,,CA,Ellis Street,
Youth UpRising,,alameda,,social_community,,,,,,,https://www.youthuprising.org/,37.7577211,-122.1634133,81458139,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449,,,,88th Avenue,
Alameda County Social Services,,alameda,,social_community,,,,,,,,37.8108616,-122.2730181,91164963,way,,,,,,social_facility,,,,,,,,,,,yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outreach,underprivileged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Growth Art Center,,alameda,,social_community,,,,,,,,37.8130355,-122.2639851,91941380,way,,,,,,arts_centre,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,355,,,,24th Street,
Lake Park Senior Living,,alameda,,social_community,,,,+1-510-835-5511,,,,37.8050889,-122.2635136,91960745,way,,,,,,social_facility,,,,,,,,,,,yes,12,,,,,,,,,,,,,,,,,https://lakeparkseniorliving.com/,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California-Nevada Methodist Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,bing approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,,,
Ralph and Mary Ruggieri Senior Center,,alameda,,social_community,,,,,,,https://www.unioncity.org/289/Ralph-and-Mary-Ruggieri-Senior-Center,37.5885209,-122.0279421,93173607,way,,,,,,community_centre,,,,,,,,,,,civic,,,,,,,,,,,senior_centre,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33955,,,,Alvarado-Niles Road,
Studio One Art Center,,alameda,,social_community,,,,,,,https://www.oaklandca.gov/topics/studio-one-arts-center,37.8329811,-122.2573498,104435755,way,,,,,,arts_centre,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,365,,94609,,45th Street,
Bushrod Recreation Center,,alameda,,social_community,,,,,,,,37.8456047,-122.263367,104441907,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,560,,,CA,59th Street,
Franklin Recreation Center,,alameda,,social_community,,,,,,,https://www.oaklandca.gov/Community/Parks-Facilities/Recreation-Centers/Franklin-Recreation-Center,37.7927891,-122.248529,107236636,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manzanita Recreation Center,,alameda,,social_community,,,,,,,,37.794242,-122.2280147,107246805,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ernest A. Robinson II Manzanita Recreation Center,,,,,,,,City of Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2701,,,,22nd Avenue,
Brookdale Recreation Center,,alameda,,social_community,,,,,,,,37.7818619,-122.2052772,107246811,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,juvenile,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,,,yes,,,,,,,,,,,,,,,,Oakland,,,,,2535,,94601,CA,High Street,
East Bay Longevity Assisted Living,,alameda,,social_community,,,,,,,,37.8025693,-122.2700359,112758038,way,,,,,,social_facility,,,,,,,,,,,yes,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,12th Street,
The Salvation Army Oakland Chinatown Corps and Community Center,,alameda,,social_community,,,,,,,,37.8022853,-122.270644,112758049,way,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Salvation Army,,charitable,,Q188307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing-approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
