name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,alt_name,amenity,appointment,branch,brand,brand:wikidata,building,building:levels,check_date,check_date:opening_hours,check_date:service:bicycle:pump,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:website,contact:yelp,created_by,currency:USD,ele,height,level,name:ca,note,official_name,old_name,opening_hours,operator,paloalto_ca:id,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,payment:litecoin,payment:mastercard,payment:visa,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,rental,roof:shape,second_hand,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:accessories,service:bicycle:bicycle,service:bicycle:bicycle_sales_and_service,service:bicycle:bike,service:bicycle:chain_tool,service:bicycle:cleaning,service:bicycle:clothing,service:bicycle:dealer,service:bicycle:diy,service:bicycle:ebike,service:bicycle:electric_bikes,service:bicycle:mtb,service:bicycle:parts,service:bicycle:pump,service:bicycle:rental,service:bicycle:repair,service:bicycle:retail,service:bicycle:sales,service:bicycle:school,service:bicycle:second_hand,service:bicycle:service,service:bicycle:showroom,service:bicycle:spare_parts,service:bicycle:tools,service:bicycle:training,service:bicycle:wheel,shop,short_name,source,stroller,toilets,walk-in,wheelchair,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit
The Shed,,alameda,,bikeshops,,,,,,,,37.76068,-122.19096,555253732,way,,,,,,,shed,,,,,,,,,,,,,,,,,,,,Sa 13:00-15:00,The Scraper Bike Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,bicycle,,,,,,,Oakland,,,6833,94621,CA,International Boulevard,
Street Level Cycles - Public Shop,,alameda,,bikeshops,,,,,,,https://www.watersideworkshops.org/street-level-cycles/,37.862495,-122.3006522,760833937,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,"Sa,Su 12:00-18:00",Waterside Workshops,,yes,,yes,,,,,,,,,,,,,,yes,,,,,yes,,,,yes,yes,yes,yes,,yes,,yes,yes,,yes,yes,,,bicycle,,,,,,yes,,,,90,,,Bolivar Drive,
Larry Orozco Teen Workshop,,alameda,,bikeshops,,,,+1-510-675-5805,,,https://www.unioncity.org/723/Larry-Orozco-Teen-Workshop,37.6033443,-122.0171482,1172321058,way,Union City Teen Workshop,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,bicycle,,,,,,,,,,33611;33623,,,Mission Boulevard,
Changing Gears Bike Shop,,alameda,,bikeshops,,,,+1-510-995-1478,,,,37.784328,-122.299236,1749346864,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,yes,,,,,,,bicycle,,,,,,,Alameda,US,,650,94501,CA,West Ranger Avenue,
Blue Heron Bikes,,alameda,,bikeshops,,,,+1-510-524-1937,,,https://www.blueheronbikesberkeley.com/,37.8812134,-122.2896077,1803307743,node,,,,,,,,,,2023-03-02,,,,,,,,,,,,,,,,,Mo-Sa 09:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,bicycle,,,,,,,Berkeley,US,,1306,,CA,Gilman Street,
Spokeland,,alameda,,bikeshops,,,,+1 510 8529253,spokeland@gmail.com,,https://spokeland.org/,37.8459452,-122.2855272,2275700836,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Su 13:00-18:00; Tu 18:00-21:00; Th 18:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Oakland,US,,1121,,CA,64th Street,
The Roll Up,,alameda,,bikeshops,,,,+1-510-536-6652,,,http://www.rollupbikeshop.com/,37.7699326,-122.21649,2324987312,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:00-18:00; Fr,Sa off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,yes,Oakland,,,4401,94601,,San Leandro Street,
Lakeview Bicycle,,alameda,,bikeshops,,,,+1-510-251-1422,,,http://lakeviewbicycle.com/,37.8098553,-122.2494233,2744207446,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 11:00-19:00; Sa 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,,,,622,,,Grand Avenue,
Dublin Cyclery,,alameda,,bikeshops,,,,+1-925-828-8676,,,https://www.dublincyclery.com/,37.7057854,-121.9191122,2786878686,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-17:30;Sa 09:00-16:00;Su 10:00-15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Dublin,,,7001,94568,,Dublin Boulevard,
Centripedal Bikes,,alameda,,bikeshops,,,,+1-510-742-2265,,,https://www.centripedalbikes.com/,37.5619654,-122.008558,2991608367,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Su 12:00-17:00; Tu-Sa 11:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Fremont,,,3636,94536,CA,Thornton Avenue,
Bicycle Garage,,alameda,,bikeshops,,,,+1-510-795-9622,,,https://www.bicyclegaragefremont.com/,37.5354356,-121.9977506,2994720277,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sa 10:00-18:00; Su 11:00-17:00; Mo,We-Fr 10:00-19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Fremont,US,,5006,,CA,Mowry Avenue,
Superfly Wheels,,alameda,,bikeshops,,,,+1-925-248-2453,,,https://www.superflywheels.com/,37.6610855,-121.8757321,3585095777,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Pleasanton,,,537,94566,CA,Main Street,
Archer Bicycle,,alameda,,bikeshops,,,,,,,,37.803281,-122.2711305,3927989516,node,,,,,,,,,2023-08-19,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-16:00; Su off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,431,,,13th Street,
King Kog,,alameda,,bikeshops,,,,,,,,37.8054046,-122.2668536,3967298498,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,327,,,17th Street,
Bikes 4 Life,,alameda,,bikeshops,,,,,,,,37.8062177,-122.2982518,3974904876,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Biketopia Annex,,alameda,,bikeshops,,,,,,,https://www.biketopiaberkeley.org/annex/,37.8756448,-122.2736257,4540160124,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Trek,,alameda,,bikeshops,,,,+1-925-829-4310,,,https://www.trekbikes.com/us/en_US/retail/dublin/,37.7044362,-121.938375,5199321661,node,Trek Bicycle Store,,,Dublin,Trek,Q1067617,,,,,,,,,,,,,,,,,,,,,,Trek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,Dublin,,,7222,94568,CA,San Ramon Road,
Trek,,alameda,,bikeshops,,,,+1-510-881-5000,,,https://www.trekbikes.com/us/en_US/retail/castro_valley/,37.6967251,-122.0782361,5261431323,node,Trek Bicycle Store,,,Bicycles,Trek,Q1067617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Cosmic Cycles,,alameda,,bikeshops,,,,,,,,37.8395346,-122.2828407,5285554775,node,,,,,,,,,2023-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,5651,,,San Pablo Avenue,
Cycle City,,alameda,,bikeshops,,,,,,,,37.759074,-122.2312287,5326600148,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Pioneer Bicycles,,alameda,,bikeshops,,,,,,,,37.8241432,-122.2548435,5349617627,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tu-Fr 11:00-18:00, Sa 10:00-17:00",Edmund Gee,,,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,yes,,yes,yes,,,yes,,,,,,,bicycle,,,,,,,Oakland,,,11,94611,CA,Rio Vista Avenue,
The Bikery,,alameda,,bikeshops,,,,,,,,37.7829637,-122.2361385,5357362588,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tu 15:00-18:00, Th 15:00-18:00, Sa 11:00-17:00",Cycles of Change,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,yes,yes,,,yes,yes,,,,,,,bicycle,,,,,,,Oakland,,,1246,94606,CA,23rd Avenue,
The Towne Cycles,,alameda,,bikeshops,,,,,,,,37.8235041,-122.2812845,6659933102,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
My Buddy's Bike Shop,,alameda,,bikeshops,,,,+1-925-583-5454,mybuddysbikeshop@gmail.com,,https://mybuddysbikeshop.com/,37.6808185,-121.7765094,7043027953,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Livermore,,,1601,94550,CA,Railroad Avenue,Unit B
Waterside Workshops,,alameda,,bikeshops,,,,,,,https://watersideworkshops.org/,37.8645531,-122.3017988,9638555146,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Berkeley,,,,,,,
AJ’s Family Cyclery,,alameda,,bikeshops,,,,,,,https://www.ajsbikeservice.org/,37.66196,-121.7790915,9712673989,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Th 09:00-17:00,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,yes,yes,,yes,,,,yes,,,,yes,,,bicycle,,,,,,,Livermore,,,1444,94550,CA,Concannon Boulevard,
The New Wheel,,alameda,,bikeshops,,,,+1-415-524-7362,,,https://newwheel.net,37.8117886,-122.212202,9765783994,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-We, Fr, Sa 10:00-18:00; Th 11:00-18:00; Su 11:00-17:00",,,,,,,,,,,,ebike,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Rad power bike,,alameda,,bikeshops,,,,+1-510-296-8885,,,https://www.radpowerbikes.com/pages/showroom#s-0f8701cc-8ba8-4cbc-9e15-d7f8d6cbba85,37.8567143,-122.288513,9787064502,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,,bicycle,,,,,,,Berkeley,,,2734,,,San Pablo Avenue,
Spokeland,,alameda,,bikeshops,,,,+1-510-852-9253,spokeland@gmail.com,,https://spokeland.square.site/,37.8266651,-122.2723498,9948284572,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Su 12:30-15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Oakland,US,,813,94608,CA,37th Street,
Stay True Cycles,,alameda,,bikeshops,,,,+1-510-725-6281,,,,37.880217,-122.268568,11386879582,node,,,,,,,,,2023-11-30,,,,,,,,,,,,,,,,,,Tu-Sa 12:00-19:00,Stay True Cycles,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,yes,yes,yes,,yes,yes,yes,,,yes,,,,,,bicycle,,,,,,,Berkeley,,,2116,94709,CA,Vine Street,
Westside Joe's Bike Shop,,alameda,,bikeshops,,,,+1-510-995-8582,,,https://www.westsidejoes.com/home,37.7711259,-122.2689272,12064954942,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westside Joe's Bike Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Alameda,,,1000,94501,CA,Central Avenue,
Westside Joe's Bike Shop,,alameda,,bikeshops,,,,+1-510-407-6950,,,,37.8294185,-122.248717,12503980314,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Th 11:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Oakland,,,4319,94611,CA,Piedmont Avenue,
Redwood Cycle House,,alameda,,bikeshops,,,,+1-510-214-6216,gaelan@redwoodcyclehouse.com,,https://www.redwoodcyclehouse.com/contact,37.6961913,-122.0815411,12564028826,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Castro Valley,,,3052,94546,CA,Castro Valley Boulevard,
BikeLink: Berkeley BART Bike Station,,alameda,,bikeshops,,,,,,,http://www.bikelink.org/,37.8701811,-122.2699543,12758812332,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Berkeley,,,2025,94704,CA,Center Street,
Pacific EBike,,alameda,,bikeshops,,,,,,,https://www.pacificebike.net/,37.8564267,-122.2878231,12784981421,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Berkeley,,,2735,94702,CA,San Pablo Avenue,
Fremont Schwinn Cyclery,,alameda,,bikeshops,,,,+1-510-656-8610,,,https://www.fremontschwinn.com/,37.5334644,-121.9612878,12817621978,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Fremont,,,4040,94538,CA,Papazian Way,
Karim Cycle,,alameda,,bikeshops,,,,,,,,37.8593766,-122.2594903,12821334275,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Berkeley,,,2800,94705,CA,Telegraph Avenue,
Pedego Electric Bikes,,alameda,,bikeshops,,,,+1-925-800-5330,,,https://pedegoelectricbikes.com/pages/dealers/livermore,37.6670903,-121.7397912,12950077823,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,4590,,,Tesla Road,
Niles Bicycles,,alameda,,bikeshops,,,,+1-510-565-1111,,,https://niles-bicycles.cloveronline.com/,37.5761144,-121.9784902,13141564343,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Fremont,,,161,94536,CA,I Street,
Rivendell Bicycle Works,,contra_costa,,bikeshops,,,,,,,,37.9081886,-122.0634311,316829653,node,,,,,,,,,,,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Rich City Rides,,contra_costa,,bikeshops,,,,+1 510 288 0944,info@richcityrides.org,,https://www.richcityrides.org/,37.9356078,-122.3549719,481786514,way,,,,,,,yes,,,,,https://www.facebook.com/rich.cityrides/,https://www.instagram.com/richcityrides/,https://www.linkedin.com/company/rich-city-rides/about/,https://twitter.com/rich_rides,,,,,,,,,,,,Mo-Fr 13:00-17:00,Rich City Rides,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,yes,yes,,yes,,,,bicycle,,,,,,,Richmond,US,,1500,94804,CA,Macdonald Avenue,
Arlington Auto Shop & Bike Repair,,contra_costa,,bikeshops,,,,,,,https://www.kensingtonservicestation.com/,37.9030207,-122.278376,957796467,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Frame Up Bikes,,contra_costa,,bikeshops,,,,,,,,37.9373922,-122.0538777,991117347,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Walnut Creek,,,181,94597,CA,Mayhew Way,D
Mike's Bikes of Walnut Creek,,contra_costa,,bikeshops,,,,+1 925 954 1490,,,https://mikesbikes.com/pages/walnut-creek,37.9015195,-122.0647464,1727225695,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Walnut Creek,US,,1615,,CA,North California Boulevard,
Encina Bicycles,,contra_costa,,bikeshops,,,,,,,http://www.encincabicyclecenters.com,37.9254155,-122.0163993,2131722716,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,yes,,,,2901,94598,,Ygnacio Valley Road,
Rivendell Bike Book & Hatchet,,contra_costa,,bikeshops,,,,,,,,37.9007032,-122.0615962,3569488993,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Trek,,contra_costa,,bikeshops,,,,+1-212-581-4500,,,https://www.trekbikes.com/us/en_US/livermore_cyclery/,37.8513546,-122.0360819,4811884521,node,Trek Bicycle Store,,,,Trek,Q1067617,,,,,,,,,,,,,,,,,,,,,"Mo-Sa 09:30-06:00, Su 10:00-05:00",Trek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Alamo,,,180 C,94507,CA,Alamo Plaza,
Pegasus Bicycle Works,,contra_costa,,bikeshops,,,,+1-925-362-2220,info@pegasusbicycleworks.com,,http://www.pegasusbicycleworks.com,38.016599,-122.1370881,5777592953,node,,,,,,,,,,,,https://www.facebook.com/pegasusbicycleworks,,,,,pegasus-bicycle-works-martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,bicycle,,,,,,,Martinez,,,721,94553,CA,Castro Street,
Pedego Electric Bike Rentals,,contra_costa,,bikeshops,,,,+1 925 718-5111,,,https://www.pedegoelectricbikes.com/,37.8202311,-121.9988093,6429723808,node,,,,,,,,,,,,,,,,,,,,,,,,,,,We-Fr 10:00-17:00; Sa-Su 09:30-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Danville,,,294,94526,CA,Railroad Avenue,A
Big Dave's Bikes,,contra_costa,,bikeshops,,,,,,,,37.9487434,-122.0807618,7821399728,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Danville Bike,,contra_costa,,bikeshops,,,,,,,,37.8235902,-122.0022365,9960384078,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Trek,,contra_costa,,bikeshops,,,,,,,,37.8205678,-121.9984726,9960428030,node,Trek Bicycle Store,,,Danville,Trek,Q1067617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Concord Community Bike Kitchen,,contra_costa,,bikeshops,,,,,Info@BikeConcord.org,,https://bikeconcord.org,37.9803014,-122.0267252,13053603799,node,,,,,,,,,,,,https://www.facebook.com/groups/219754671554566/user/100067689065465,,,,,,,,,,,,,,,Thurs 11:00-16:00 + 3RD Sundays 11:00 - 14:45,Smitty,,yes,,,,,,,,,,,only,,,,,,,,,,yes,yes,,,yes,yes,,yes,,,,yes,yes,,,,,,bicycle,,,,,,,Concord,,,2730,94519,CA,Salvio Street,
The Bike Connection,,san_francisco,,bikeshops,,,,+1 415 934-8000,,,https://www.bikeconnection.net/contact/san-francisco-pg420.htm,37.7770775,-122.4076668,260354461,way,,,,,,,retail,,,,,,,,,,,,,,7,,,,,,Mo-Fr 11:00-19:00; Sa 10:00-19:00; Su 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Francisco,,,1090,94103,CA,Folsom Street,
Bespoke,,san_francisco,,bikeshops,,,,,,,,37.7897312,-122.4398239,262586269,way,,,,,,,yes,,,,,,,,,,,,,,9,,,,,,Tu 10:00-19:00; We 12:00-19:00; Th-Fr 10:00-19:00; Sa 10:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,yes,San Francisco,,,2843,,,Clay Street,
Roaring Mouse Cycles,,san_francisco,,bikeshops,,,,+1 415 753 6272,,,roaringmousecycles.com,37.8052688,-122.4688743,288325549,way,,,,,,,yes,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,,,yes,,,yes,yes,yes,,,yes,yes,yes,yes,,,bicycle,,,,,,,San Francisco,,,934,,CA,Mason Street,
Box Dog,,san_francisco,,bikeshops,,,,+1-415- 431-9627,,,https://www.boxdogbikes.com/,37.7681502,-122.424088,295086235,node,,,,,,,,,2023-01-14,,,,,,,,,,,,,,,,,,"Tu-Fr 10:00-18:00,Sa 11:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Francisco,,,494,94103,CA,14th Street,
